x,y,z,h,local_x,local_y,local_z
399242.50670129404,6412023.861878326,128.67240350277112,17.64,-53.33,3.35,-13.22
399246.5985360484,6412025.256650116,128.67240350277112,17.64,-49.31,4.94,-13.22
399255.0372293502,6412051.010513036,128.42240350277112,17.39,-42.12,31.07,-13.47
399207.3825057975,6412048.109647105,128.3724035027711,17.34,-89.58,25.88,-13.52
399254.4560059777,6412026.470061138,128.2724035027711,17.24,-41.52,6.53,-13.620000000000001
399246.63882753026,6412049.582876221,128.2424035027711,17.21,-50.44,29.240000000000002,-13.65
399235.13576168683,6412042.728310137,128.0524035027711,17.02,-61.6,21.84,-13.84
399211.30323354295,6412048.861906332,128.0324035027711,17.0,-85.7,26.82,-13.86
399254.28824356187,6412010.930139783,127.98240350277112,16.95,-40.94,-9.0,-13.91
399246.1471194163,6412029.603398672,127.91240350277111,16.88,-49.97,9.26,-13.98
399250.8712345183,6412050.570414113,127.90240350277112,16.869999999999997,-46.26,30.43,-13.99
399230.9591834681,6412042.068465928,127.89240350277112,16.86,-65.74,20.98,-14.0
399258.5231926152,6412027.145185466,127.89240350277112,16.86,-37.49,7.4,-14.0
399251.00102493,6412024.994559203,127.84240350277112,16.81,-44.9,4.89,-14.05
399192.21760865866,6412070.615230742,127.80240350277111,16.77,-105.81,47.63,-14.09
399203.41568444535,6412047.439700572,127.78240350277112,16.75,-93.51,25.02,-14.11
399184.5176875274,6412068.72345523,127.75240350277112,16.72,-113.41,45.37,-14.14
399226.93098839343,6412041.371440504,127.67240350277112,16.64,-69.73,20.09,-14.22
399266.80080355913,6412062.858328102,127.60240350277111,16.57,-30.94,43.47,-14.290000000000001
399275.15042382904,6412089.2572228005,127.59240350277112,16.56,-23.87,70.24,-14.3
399242.9420607392,6412048.699691478,127.50240350277112,16.47,-54.09,28.18,-14.39
399259.145835714,6412066.68100613,127.49240350277111,16.46,-38.77,46.92,-14.4
399238.79811974213,6412043.312804341,127.47240350277112,16.439999999999998,-57.97,22.6,-14.42
399196.02676991886,6412055.955012785,127.41240350277111,16.38,-101.3,33.17,-14.48
399235.14736888494,6412052.739342318,127.38240350277111,16.35,-62.07,31.84,-14.51
399188.10881332797,6412049.3282440845,127.37240350277112,16.34,-108.89,26.17,-14.52
399262.12847028684,6412017.190223239,127.37240350277112,16.34,-33.410000000000004,-2.37,-14.52
399259.43338413135,6412076.808899093,127.36240350277112,16.33,-38.97,57.050000000000004,-14.530000000000001
399200.7199964647,6412071.707476865,127.30240350277111,16.27,-97.37,49.13,-14.59
399250.5748513796,6412030.281181577,127.30240350277111,16.27,-45.58,10.15,-14.59
399255.2190068872,6412060.813117636,127.30240350277111,16.27,-42.410000000000004,40.87,-14.59
399260.01134971174,6412050.560705712,127.29240350277112,16.259999999999998,-37.13,30.86,-14.6
399266.41896808945,6412042.873558859,127.29240350277112,16.259999999999998,-30.36,23.490000000000002,-14.6
399196.0501530411,6412050.827951909,127.28240350277112,16.25,-101.03,28.05,-14.61
399274.6937582519,6412064.6006444385,127.28240350277112,16.25,-23.14,45.59,-14.61
399227.5237344304,6412051.184286784,127.25240350277112,16.22,-69.61,29.92,-14.64
399254.1624181639,6412020.997848952,127.25240350277112,16.22,-41.550000000000004,1.05,-14.64
399279.5208583776,6412090.408310052,127.21240350277111,16.18,-19.56,71.60000000000001,-14.68
399196.46302980516,6412071.041492737,127.20240350277112,16.17,-101.59,48.26,-14.69
399231.41028124356,6412052.058331331,127.19240350277111,16.159999999999997,-65.77,30.98,-14.700000000000001
399215.8131509173,6412053.740599321,127.17240350277112,16.14,-81.43,31.91,-14.72
399243.7546271301,6412063.908210007,127.16240350277111,16.13,-54.01,43.410000000000004,-14.73
399254.2966360566,6412015.885473227,127.16240350277111,16.13,-41.17,-4.05,-14.73
399215.62604285026,6412049.024139782,127.15240350277112,16.119999999999997,-81.39,27.19,-14.74
399274.37558791833,6412044.482658268,127.12240350277112,16.09,-22.490000000000002,25.48,-14.77
399270.8849413047,6412064.093285136,127.10240350277111,16.07,-26.92,44.9,-14.790000000000001
399262.9135224231,6412062.384782571,127.08240350277111,16.049999999999997,-34.800000000000004,42.81,-14.81
399267.3013235461,6412078.031817475,127.07240350277112,16.04,-31.17,58.65,-14.82
399219.33339302836,6412050.127069818,127.05240350277111,16.02,-77.74,28.47,-14.84
399271.7037092984,6412088.992725269,127.04240350277112,16.009999999999998,-27.3,69.81,-14.85
